Solver ID,Solver Name,Single Query Track,Incremental Track,Challenge Track,Model Validation Track,Unsat Core Track
23321,"STP",QF_BV,,QF_BV (non-incremental),,,
23429,"SMT-RAT",QF_NIA;QF_NIRA;QF_NRA,,,,,
23434,"SMTRAT-MCSAT",QF_NRA,,,,,
23466,"ProB",LIA;NIA;QF_IDL;QF_LIA;QF_NIA,,,,,
23530,"Alt-Ergo",ALIA;AUFDTLIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;QF_ALIA;QF_ANIA;QF_AUFLIA;QF_AUFNIA;QF_AX;QF_DT;QF_UF;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA;UF;UFDT;UFDTLIA;UFDTNIA;UFLIA;UFLRA;UFNIA,,,,,
23356,"SPASS-SATT",QF_LIA;QF_LRA,,,,,
23635,"OpenSMT2",QF_LRA;QF_UF,,,,,
23554,"SMTInterpol",ALIA;AUFLIA;AUFLIRA;LIA;LRA;QF_ALIA;QF_AUFLIA;QF_AX;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_RDL;QF_UF;QF_UFIDL;QF_UFLIA;QF_UFLRA;UF;UFIDL;UFLIA;UFLRA,ALIA;LIA;LRA;QF_ALIA;QF_AUFLIA;QF_LIA;QF_LRA;QF_UF;QF_UFLIA;QF_UFLRA;UFLRA,,,QF_ALIA;QF_AUFLIA;QF_AX;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_RDL;QF_UF;QF_UFIDL;QF_UFLIA;QF_UFLRA,
23363,"Yices 2.6.2",QF_ABV;QF_ALIA;QF_AUFBV;QF_AUFLIA;QF_AX;QF_BV;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_NIA;QF_NIRA;QF_NRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA,,QF_BV (non-incremental);QF_ABV (non-incremental);QF_AUFBV (non-incremental),,QF_ABV;QF_ALIA;QF_AUFBV;QF_AUFLIA;QF_AX;QF_BV;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA,
23364,"Yices 2.6.2 incremental",,QF_ABV;QF_ALIA;QF_AUFBV;QF_AUFLIA;QF_BV;QF_LIA;QF_LRA;QF_NIA;QF_UF;QF_UFBV;QF_UFBVLIA;QF_UFLIA;QF_UFLRA;QF_UFNIA,QF_BV (incremental);QF_ABV (incremental);QF_AUFBV (incremental),,,
23365,"Yices 2.6.2 with SMT-LIB2 Models",,,,QF_BV,,
23366,"Yices 2.6.2 mcsat-bv",QF_BV,,,,,
23367,"Yices 2.6.2 new bvsolver",QF_BV,,QF_BV (non-incremental),,,
23368,"Yices 2.6.2 CaDiCal",QF_BV,,QF_BV (non-incremental),,,
23369,"Yices 2.6.2 Cryptominisat",QF_BV,,QF_BV (non-incremental),,,
23370,"Yices 2.6.2 newbv solver/smtlib2 models",,,,QF_BV,,
23371,"Yices 2.6.2 CaDiCal/SMT-LIB2 Models",,,,QF_BV,,
23372,"Yices 2.6.2 Cryptominisat/SMT-LIB2 Models",,,,QF_BV,,
23373,"MathSAT",QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFLIA;QF_AUFNIA;QF_AX;QF_BV;QF_BVFP;QF_BVFPLRA;QF_FP;QF_FPLRA;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_NIA;QF_NIRA;QF_NRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA,QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFBVLIA;QF_AUFBVNIA;QF_AUFLIA;QF_BV;QF_BVFP;QF_FP;QF_LIA;QF_LRA;QF_NIA;QF_UF;QF_UFBV;QF_UFBVLIA;QF_UFLIA;QF_UFLRA;QF_UFNIA,QF_BV (non-incremental);QF_BV (incremental);QF_ABV (non-incremental);QF_ABV (incremental);QF_AUFBV (non-incremental);QF_AUFBV (incremental),,QF_ABV;QF_ABVFP;QF_ALIA;QF_ANIA;QF_AUFBV;QF_AUFLIA;QF_AUFNIA;QF_AX;QF_BV;QF_BVFP;QF_BVFPLRA;QF_FP;QF_FPLRA;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_NIA;QF_NIRA;QF_NRA;QF_RDL;QF_UF;QF_UFBV;QF_UFIDL;QF_UFLIA;QF_UFLRA;QF_UFNIA;QF_UFNRA,
23380,"Boolector",BV;QF_ABV;QF_AUFBV;QF_BV;QF_UFBV,,QF_BV (non-incremental);QF_ABV (non-incremental);QF_AUFBV (non-incremental),QF_BV,,
23381,"Boolector (incremental)",,QF_ABV;QF_AUFBV;QF_BV;QF_UFBV,QF_BV (incremental);QF_ABV (incremental);QF_AUFBV (incremental),,,
23382,"Boolector (Plingeling)",QF_BV,,QF_BV (non-incremental),,,
23383,"Boolector (Treengeling)",QF_BV,,QF_BV (non-incremental),,,
23384,"Boolector (Portfolio)",QF_BV,,QF_BV (non-incremental),,,
1229,"AProVE",QF_NIA,,,,,
23392,"Minkeyrink Solver ",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23393,"Minkeyrink Solver MT",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23394,"STP ST",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23391,"Par4",AUFLIRA;AUFNIRA;BV;LRA;NRA;QF_ABV;QF_BV;QF_BVFP;QF_FP;QF_IDL;QF_LIA;QF_LIRA;QF_LRA;QF_NIA;QF_NRA;QF_UF;QF_UFNRA;UF;UFBV;UFDT;UFIDL;UFLIA;UFNIA,,,,,
23396,"stp-incremental",QF_BV,QF_BV,QF_BV (incremental),QF_BV,QF_BV,
23355,"COLIBRI",QF_FP,,,,,
23397,"stp-mt",QF_BV,QF_BV,QF_BV (non-incremental);QF_BV (incremental),QF_BV,,
23398,"Ctrl-Ergo",QF_LIA;QF_LRA,,,,,
23400,"stp-riss",QF_BV,,QF_BV (non-incremental),,,
23401,"stp-mergesat",QF_BV,,QF_BV (non-incremental),,,
23402,"stp-minisat",QF_BV,,QF_BV (non-incremental),,,
23403,"stp-portfolio",QF_BV,,QF_BV (non-incremental),,,
23406,"veriT",ALIA;AUFLIA;AUFLIRA;LIA;QF_ALIA;QF_AUFLIA;QF_IDL;QF_LIA;QF_LRA;QF_RDL;QF_UF;QF_UFIDL;QF_UFLIA;QF_UFLRA;UF;UFIDL;UFLIA;UFLRA,,,,,
23399,"veriT+raSAT+Reduce",QF_NRA;QF_UFNRA,,,,,
23405,"Q3B",BV,BV,,,,
23584,"Vampire",ALIA;AUFDTLIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;LIA;LRA;NIA;NRA;UF;UFDT;UFDTLIA;UFDTNIA;UFIDL;UFLIA;UFLRA;UFNIA,,,,,
23421,"FloatFolio",QF_FP,,,,,
23423,"UltimateEliminator+Yices-2.6.1",ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;LIA;LRA;NIA;NRA;UF;UFIDL;UFLIA;UFLRA;UFNIA,ALIA;ANIA;AUFNIRA;LIA;LRA;UFLRA,,,ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;LIA;LRA;NIA;NRA;UF;UFIDL;UFLIA;UFLRA;UFNIA,
23425,"UltimateEliminator+MathSAT-5.5.4",ABVFP;ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;BV;BVFP;FP;LIA;LRA;NIA;NRA;UF;UFBV;UFIDL;UFLIA;UFLRA;UFNIA,ABVFP;ALIA;ANIA;AUFNIRA;BV;BVFP;LIA;LRA;UFLRA,,,ABVFP;ALIA;AUFLIA;AUFLIRA;AUFNIA;AUFNIRA;BV;BVFP;FP;LIA;LRA;NIA;NRA;UF;UFBV;UFIDL;UFLIA;UFLRA;UFNIA,
23426,"UltimateEliminator+SMTInterpol",ALIA;AUFLIA;AUFLIRA;LIA;LRA;UF;UFIDL;UFLIA;UFLRA,ALIA;LIA;LRA;UFLRA,,,ALIA;AUFLIA;AUFLIRA;LIA;LRA;UF;UFIDL;UFLIA;UFLRA,
23427,"MathSAT-na",QF_ANIA;QF_AUFNIA;QF_NIA;QF_NIRA;QF_NRA;QF_UFNIA;QF_UFNRA,QF_ANIA;QF_AUFBVNIA;QF_NIA;QF_UFNIA,,,QF_ANIA;QF_AUFNIA;QF_NIA;QF_NIRA;QF_NRA;QF_UFNIA;QF_UFNRA,
