Ctrl-Ergo,12019
ProB,9247
CVC4,439
CVC4-inc,439
CVC4-mv,439
CVC4-uc,439
UltimateEliminator+Yices-2.6.1,0
UltimateEliminator+MathSAT-5.5.4,0
UltimateEliminator+SMTInterpol,0
Boolector,42
Boolector (incremental),42
Poolector,42
Alt-Ergo,42
SMTInterpol,983571724
OpenSMT2,568
Yices,255
SPASS-SAT,73
STP,1094795585
STP ST,1094795585
stp-incremental,1094795585
stp-mt,1094795585
stp-riss,1094795585
stp-mergesat,1094795585
stp-minisat,1094795585
stp-portfolio,1094795585
Vampire,4051
AProVE,896120349
Q3B,93629305
Par4,0
veriT,7800
veriT+raSAT+Redlog,13
Colibri,614823377508390721
