benchmark,solver,wallclock time,result
cloud_new/non-incremental/QF_BV/smt-comp-061.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-061.smt2,par,TIMEOUT,
cloud_new/non-incremental/QF_BV/smt-comp-061.smt2,stp,1046.47,UNSATISFIABLE
cloud_new/non-incremental/UF/smt-comp-322.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-322.smt2,par,TIMEOUT,
cloud_new/non-incremental/UF/smt-comp-322.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-035.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/AUFNIRA/smt-comp-035.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-035.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/LRA/smt-comp-044.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/LRA/smt-comp-044.smt2,par,1.592,UNSATISFIABLE
cloud_new/non-incremental/LRA/smt-comp-044.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-215.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-215.smt2,par,TIMEOUT,
cloud_new/non-incremental/AUFNIRA/smt-comp-215.smt2,vampirecloud,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-085.smt2,cubeandconquer,461.592,SATISFIABLE
cloud_new/non-incremental/QF_IDL/smt-comp-085.smt2,portfolio,1212.385,SATISFIABLE
cloud_new/non-incremental/QF_IDL/smt-comp-085.smt2,cvc5gg,TIMEOUT,
cloud_new/non-incremental/QF_IDL/smt-comp-085.smt2,par,870.776,SATISFIABLE
cloud_new/non-incremental/UFLIA/smt-comp-156.smt2,cvc5gg,CRASHED,
cloud_new/non-incremental/UFLIA/smt-comp-156.smt2,par,919.249,UNSATISFIABLE
cloud_new/non-incremental/UFLIA/smt-comp-156.smt2,vampirecloud,651.363,UNSATISFIABLE
