benchmark,solver,wallclock time,result
parallel_new/non-incremental/AUFDTLIRA/smt-comp-000.smt2,cvc5ggparallel,1.959,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-000.smt2,vampireparallel,142.35,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-001.smt2,cvc5ggparallel,1.973,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-001.smt2,vampireparallel,142.484,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-002.smt2,cvc5ggparallel,1.965,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-002.smt2,vampireparallel,142.389,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-003.smt2,cvc5ggparallel,2.086,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-003.smt2,vampireparallel,181.68,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-004.smt2,cvc5ggparallel,1.971,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-004.smt2,vampireparallel,142.332,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-005.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-005.smt2,vampireparallel,146.13,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-006.smt2,cvc5ggparallel,1.974,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-006.smt2,vampireparallel,142.251,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-007.smt2,cvc5ggparallel,1.941,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-007.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-008.smt2,cvc5ggparallel,1.946,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-008.smt2,vampireparallel,146.611,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-184.smt2,cvc5ggparallel,1.944,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-184.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-185.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-185.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-186.smt2,cvc5ggparallel,1.999,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-186.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-187.smt2,cvc5ggparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-187.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-188.smt2,cvc5ggparallel,1.99,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-188.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-189.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-189.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-190.smt2,cvc5ggparallel,1.961,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-190.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTLIRA/smt-comp-191.smt2,cvc5ggparallel,2.148,UNSATISFIABLE
parallel_new/non-incremental/AUFDTLIRA/smt-comp-191.smt2,vampireparallel,TIMEOUT,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-009.smt2,cvc5ggparallel,CRASHED,
parallel_new/non-incremental/AUFDTNIRA/smt-comp-009.smt2,vampireparallel,TIMEOUT,
