benchmark,millisecond,result,cpu time,wallclock time,solver,solver id,configuration id,expected,status
non-incremental/UF/smt-comp-108.smt2,830148, sat,830.148,830.148,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-121.smt2,242, sat,0.242,0.242,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-127.smt2,152178, sat,152.178,152.178,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-132.smt2,161133, sat,161.133,161.133,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-133.smt2,237304, sat,237.304,237.304,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-134.smt2,237880, sat,237.88,237.88,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-135.smt2,142974, sat,142.974,142.974,Vampire,39081,659685,unknown,complete
non-incremental/AUFDTLIRA/smt-comp-004.smt2,1148310, unsat,1148.31,1148.31,Vampire,39081,659685,unknown,complete
non-incremental/AUFLIA/smt-comp-020.smt2,147796, unsat,147.796,147.796,Vampire,39081,659685,unknown,complete
non-incremental/LRA/smt-comp-029.smt2,26187, unsat,26.187,26.187,Vampire,39081,659685,unknown,complete
non-incremental/AUFNIRA/smt-comp-024.smt2,585734, unsat,585.734,585.734,Vampire,39081,659685,unknown,complete
non-incremental/LRA/smt-comp-032.smt2,6202, unsat,6.202,6.202,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-033.smt2,7384, unsat,7.384,7.384,Vampire,39081,659685,unsat,complete
non-incremental/AUFLIA/smt-comp-022.smt2,682656, unsat,682.656,682.656,Vampire,39081,659685,unknown,complete
non-incremental/AUFNIRA/smt-comp-025.smt2,763710, unsat,763.71,763.71,Vampire,39081,659685,unknown,complete
non-incremental/AUFNIRA/smt-comp-023.smt2,970513, unsat,970.513,970.513,Vampire,39081,659685,unknown,complete
non-incremental/LRA/smt-comp-037.smt2,4774, unsat,4.774,4.774,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-038.smt2,4991, unsat,4.991,4.991,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-040.smt2,4915, unsat,4.915,4.915,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-041.smt2,19208, unsat,19.208,19.208,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-039.smt2,505923, unsat,505.923,505.923,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-043.smt2,30596, unsat,30.596,30.596,Vampire,39081,659685,unsat,complete
non-incremental/LRA/smt-comp-045.smt2,5082, unsat,5.082,5.082,Vampire,39081,659685,unsat,complete
non-incremental/NRA/smt-comp-047.smt2,2608, unsat,2.608,2.608,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-106.smt2,27639, unsat,27.639,27.639,Vampire,39081,659685,unsat,complete
non-incremental/UF/smt-comp-107.smt2,92164, unsat,92.164,92.164,Vampire,39081,659685,unsat,complete
non-incremental/UF/smt-comp-109.smt2,377155, unsat,377.155,377.155,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-112.smt2,18866, unsat,18.866,18.866,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-116.smt2,25397, unsat,25.397,25.397,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-118.smt2,37190, unsat,37.19,37.19,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-119.smt2,1737, unsat,1.737,1.737,Vampire,39081,659685,unsat,complete
non-incremental/UF/smt-comp-120.smt2,1591, unsat,1.591,1.591,Vampire,39081,659685,unsat,complete
non-incremental/UF/smt-comp-122.smt2,2141, unsat,2.141,2.141,Vampire,39081,659685,unsat,complete
non-incremental/UF/smt-comp-123.smt2,1601, unsat,1.601,1.601,Vampire,39081,659685,unsat,complete
non-incremental/UF/smt-comp-124.smt2,466, unsat,0.466,0.466,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-125.smt2,208, unsat,0.208,0.208,Vampire,39081,659685,unknown,complete
non-incremental/UF/smt-comp-126.smt2,229526, unsat,229.526,229.526,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-128.smt2,699, unsat,0.699,0.699,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-130.smt2,820146, unsat,820.146,820.146,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-138.smt2,4090, unsat,4.09,4.09,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-139.smt2,2712, unsat,2.712,2.712,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-141.smt2,8307, unsat,8.307,8.307,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-143.smt2,9921, unsat,9.921,9.921,Vampire,39081,659685,unknown,complete
non-incremental/UFDT/smt-comp-145.smt2,393, unsat,0.393,0.393,Vampire,39081,659685,unsat,complete
non-incremental/UFLIA/smt-comp-154.smt2,114093, unsat,114.093,114.093,Vampire,39081,659685,unknown,complete
non-incremental/UFLIA/smt-comp-160.smt2,1540, unsat,1.54,1.54,Vampire,39081,659685,unknown,complete
non-incremental/UFLIA/smt-comp-161.smt2,3613, unsat,3.613,3.613,Vampire,39081,659685,unknown,complete
