Division,2015,2016,2017,2018
ABVFP,,,,CVC4
ALIA,CVC4 Z3,CVC4 Z3,CVC4 Z3,CVC4 Z3
AUFBVDTLIA,,,CVC4,CVC4
AUFDTLIA,,,CVC4,CVC4
AUFLIA,CVC4,CVC4,CVC4,CVC4
AUFLIRA,CVC4 Z3,Vampire Z3,Vampire Z3,CVC4 Z3
AUFNIRA,CVC4,Vampire,Vampire,CVC4
BV,CVC4 Z3,Q3B,Q3B Z3,CVC4
BVFP,,,,CVC4
FP,,,,CVC4
LIA,CVC4,CVC4,CVC4 Z3,CVC4 Z3
LRA,CVC4,CVC4,CVC4 Z3,CVC4 Z3
NIA,CVC4 Z3,ProB Z3,CVC4 Z3,CVC4 Z3
NRA,CVC4,Vampire,Redlog,Vampire Z3 / Vampire
QF_ABV,Boolector,Boolector,Boolector,Boolector 
QF_ABVFP,,,---,CVC4
QF_ALIA,Yices2,Yices2,Yices2,Yices2
QF_ANIA,CVC4 Z3,CVC4,CVC4,CVC4 Z3
QF_AUFBV,CVC4 MathSAT,CVC4 MathSAT,Yices2 MathSAT,CVC4
QF_AUFLIA,Yices2,Yices2,Yices2,Yices2
QF_AUFNIA,CVC4,CVC4,CVC4 Z3,CVC4 Z3
QF_AX,Yices2,Yices2,Yices2,Yices2
QF_BV,Boolector,Boolector,Boolector/MinkeyRink,Boolector/MinkeyRink
QF_BVFP,Z3,wc Z3,COLIBRI Z3,CVC4
QF_DT,,,CVC4,CVC4
QF_FP,Z3,wc MathSAT,COLIBRI Z3,COLIBRI 
QF_IDL,Yices2 Z3,Yices2 Z3,Yices2,Yices2
QF_LIA,CVC4 MathSAT,CVC4 MathSAT,CVC4 MathSAT,SPASS-SATT
QF_LIRA,Yices2,Yices2,Yices2 Z3,Yices2 Z3
QF_LRA,CVC4,CVC4,CVC4,CVC4
QF_NIA,AProVE Z3,Yices2 Z3,CVC4,CVC4
QF_NIRA,CVC4,CVC4,SMT-RAT,SMT-RAT
QF_NRA,Yices2 Z3,Yices2 Z3,Yices2,Yices2 Z3
QF_RDL,Yices2,Yices2,Yices2,Yices2
QF_SLIA,,,,CVC4
QF_UF,Yices2,Yices2,Yices2,Yices2
QF_UFBV,Boolector,Boolector,Boolector,Boolector 
QF_UFIDL,Yices2,Yices2,Yices2,Yices2
QF_UFLIA,Yices2 Z3,Yices2 Z3,Yices2,Yices2
QF_UFLRA,Yices2,Yices2,Yices2,Yices2
QF_UFNIA,CVC4,Yices2/CVC4,Yices2,Yices2
QF_UFNRA,CVC3 Z3,Yices2,Yices2 Z3,Yices2
UF,CVC4,CVC4,Vampire,CVC4/Vampire
UFBV,CVC4 Z3,CVC4 Z3,CVC4 Z3,CVC4 Z3
UFDT,,,CVC4,CVC4
UFDTLIA,,,Vampire,CVC4
UFIDL,CVC4 Z3,CVC4,CVC4,CVC4 Z3
UFLIA,CVC4,CVC4,CVC4,CVC4
UFLRA,CVC3,Vampire Z3,CVC4 Z3,CVC4 Z3
UFNIA,CVC4,Vampire,Vampire,Vampire Z3 / Vampire
